source,target
166,167
166,201
166,169
166,203
166,168
166,173
166,167
167,166
168,173
168,172
168,176
169,194
171,168
171,201
172,173
172,192
172,192
172,173
172,170
172,176
172,198
172,174
173,185
173,174
174,170
175,169
175,168
175,194
177,178
178,171
178,202
178,193
178,175
179,180
179,180
180,179
182,203
182,203
182,192
182,192
182,169
182,185
182,198
182,176
183,188
183,201
183,168
184,168
184,203
186,169
186,164
186,168
187,176
187,169
187,192
187,169
187,192
187,194
187,198
187,185
188,173
188,168
188,201
189,173
189,168
189,183
189,174
189,169
190,191
190,191
191,190
192,199
192,199
193,168
193,203
196,177
196,166
197,192
197,201
197,192
197,201
197,198
197,176
198,192
198,192
200,188
200,184
200,189
200,186
201,185
202,168
202,173
